Shwetha B ,User1@user.com ,https://github.com/99002499/Task_Calculator , Clone Failed ,Build Successful ,0 ,
Rajini R ,User2@user.com ,https://github.com/99002566/final , Clone Failed ,Build Successful ,0 ,
Sharath ,User3@user.com ,https://github.com/99002614/SDLC , Clone Failed ,Build Successful ,0 ,
rrr ,gg ,https://github.com/99002459/CI-Project , Clone Failed ,Build Successful ,0 ,
Shwetha B ,User1@user.com ,https://github.com/99002499/Task_Calculator , Clone Failed ,Build Successful ,0 ,
Rajini R ,User2@user.com ,https://github.com/99002566/final , Clone Failed ,Build Successful ,0 ,
Sharath ,User3@user.com ,https://github.com/99002614/SDLC , Clone Failed ,Build Successful ,0 ,
rrr ,gg ,https://github.com/99002459/CI-Project , Clone Failed ,Build Successful ,0 ,
Shwetha B ,User1@user.com ,https://github.com/99002499/Task_Calculator , Clone Failed ,Build Successful ,0 ,
Rajini R ,User2@user.com ,https://github.com/99002566/final , Clone Failed ,Build Successful ,0 ,
Sharath ,User3@user.com ,https://github.com/99002614/SDLC , Clone Failed ,Build Successful ,0 ,
rrr ,gg ,https://github.com/99002459/CI-Project , Clone Failed ,Build Successful ,0 ,
Shwetha B ,User1@user.com ,https://github.com/99002499/Task_Calculator , Clone Failed ,Build Successful ,0 ,
Rajini R ,User2@user.com ,https://github.com/99002566/final , Clone Failed ,Build Successful ,0 ,
Sharath ,User3@user.com ,https://github.com/99002614/SDLC , Clone Failed ,Build Successful ,0 ,
rrr ,gg ,https://github.com/99002459/CI-Project , Clone Failed ,Build Successful ,0 ,
Shwetha B ,User1@user.com ,https://github.com/99002499/Task_Calculator , Clone Failed ,Build Successful ,0 ,
Rajini R ,User2@user.com ,https://github.com/99002566/final , Clone Failed ,Build Successful ,0 ,
Sharath ,User3@user.com ,https://github.com/99002614/SDLC , Clone Failed ,Build Successful ,0 ,
rrr ,gg ,https://github.com/99002459/CI-Project , Clone Failed ,Build Successful ,0 ,
Shwetha B ,User1@user.com ,https://github.com/99002499/Task_Calculator , Clone Failed ,Build Successful ,0 ,
Rajini R ,User2@user.com ,https://github.com/99002566/final , Clone Failed ,Build Successful ,0 ,
Sharath ,User3@user.com ,https://github.com/99002614/SDLC , Clone Failed ,Build Successful ,0 ,
rrr ,gg ,https://github.com/99002459/CI-Project , Clone Failed ,Build Successful ,0 ,
Shwetha B ,User1@user.com ,https://github.com/99002499/Task_Calculator , Clone Failed ,Build Successful ,0 ,
Rajini R ,User2@user.com ,https://github.com/99002566/final , Clone Failed ,Build Successful ,0 ,
Sharath ,User3@user.com ,https://github.com/99002614/SDLC , Clone Failed ,Build Successful ,0 ,
rrr ,gg ,https://github.com/99002459/CI-Project , Clone Failed ,Build Successful ,0 ,
Shwetha B ,User1@user.com ,https://github.com/99002499/Task_Calculator , Clone Failed ,Build Successful ,0 ,
Rajini R ,User2@user.com ,https://github.com/99002566/final , Clone Failed ,Build Successful ,0 , 0 er
Sharath ,User3@user.com ,https://github.com/99002614/SDLC , Clone Failed ,Build Successful ,0 , 0 er
rrr ,gg ,https://github.com/99002459/CI-Project , Clone Failed ,Build Successful ,0 , 0 er
Shwetha B ,User1@user.com ,https://github.com/99002499/Task_Calculator , Clone Failed ,Build Successful ,0 ,
Rajini R ,User2@user.com ,https://github.com/99002566/final , Clone Failed ,Build Successful ,0 , 0
Sharath ,User3@user.com ,https://github.com/99002614/SDLC , Clone Failed ,Build Successful ,0 , 0
rrr ,gg ,https://github.com/99002459/CI-Project , Clone Failed ,Build Successful ,0 , 0
